"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"HKDAMGY2","20","Repair/rebuild","4","NA","Unit was rebuilt due to Hurricane Katrina damage",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Was or will the home be rebuilt/replaced?",6,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKDAMGYM","20","Repair/rebuild","4","NA","Estimated construction completion month",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated completion date?",7,"Numeric","2009 New Orleans Only",". or -9: Not reported||1:12: January-December||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKDAMGYY","20","Repair/rebuild","4","NA","Estimated construction completion year",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated completion date?",8,"Numeric","2009 New Orleans Only",". or -9: Not reported||2005:2030: 2005-2030||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKDAMRSM","20","Repair/rebuild","4","NA","Estimated repair start month",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated start date for repairs?",9,"Numeric","2009 New Orleans Only",". or -9: Not reported||1:12: January-December||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKDAMRSY","20","Repair/rebuild","4","NA","Estimated repair start year",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated start date for repairs?",10,"Numeric","2009 New Orleans Only",". or -9: Not reported||2005:2030: 2005-2030||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKELEV1","20","Repair/rebuild","4","NA","Unit has been or will be elevated",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did the owner or will the owner raise the elevation of his or her home?",11,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKELEV2","20","Repair/rebuild","4","NA","Unit elevation required",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did or will the owner elevate the unit because he or she was required to do so?",12,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKGAP","20","Repair/rebuild","4","NA","Lacking funds to finish repairs/rebuilding",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Is owner unable to complete repairs, rebuilt, or replace the home because the owner cannot afford to?",13,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKRAN","20","Repair/rebuild","4","NA","Number of replacements/additions made to unit as a result of Hurricane Katrina damage",,"Coming Soon","NEWHOUSE","PUF","2011 New Orleans Only;2009 New Orleans Only","New Orleans Variables",,,,,14,"Numeric","2011 New Orleans Only;2009 New Orleans Only","0:74: 0-74 replacements/additions made to unit||B or -6: Not applicable"
"RA2Y","20","Repair/rebuild","4","NA","Job performed in the last two years",,"Coming Soon","HOMIMP","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Was this job done in the last two years?",15,,"2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"RAHK","20","Repair/rebuild","4","NA","Hurricane Katrina related alteration/repair",,"Coming Soon","HOMIMP","PUF","2011 New Orleans Only;2009 New Orleans Only","New Orleans Variables",,,,"Was this job related to Hurricane Katrina damage?",16,"Character","2011 New Orleans Only;2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"PTBANK","21","Access by public transportation","1","NA","Access to personal bank by public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"(Please tell me if you could take public transportation to) Your bank?",1,"Character","2013","1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTENTMNT","21","Access by public transportation","1","NA","Access to entertainment by public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"(Please tell me if you could take public transportation to) Entertainment such as going out to eat, attending a cultural or sporting event, visiting a park, etc.?",2,"Character","2013","1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTGROCER","21","Access by public transportation","1","NA","Access to grocery store by public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"Many people use public transportation to access various services and amenities. You may or may not use public transportation for these purposes, but we are interested in finding out if you could access these services and amenities using publi",3,"Character","2013","1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTHEALTH","21","Access by public transportation","1","NA","Access to health care facilities by public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"(Please tell me if you could take public transportation to) Health care facility such as your doctor's office or hospital?",4,"Character","2013","1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTRETAIL","21","Access by public transportation","1","NA","Access to retail shopping by public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"(Please tell me if you could take public transportation to) Other retail shopping such as for clothes, household goods, books, music, etc.?",5,"Character","2013","1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTSERVIC","21","Access by public transportation","1","NA","Access to personal services by public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"(Please tell me if you could take public transportation to) Personal services such as hair or nail care salon, dry cleaner, etc.?",6,"Character","2013","1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTDISBUS","21","Access to public transportation","2","NA","Distance to bus",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"You said you or someone in your household use the bus. How far is the bus from your home?",1,"Character","2013","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTDISPUB","21","Access to public transportation","2","NA","Distance of closest public transportation stop",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How far is the nearest public transportation stop from your home? Is it",2,"Character","2013","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTDISRAIL","21","Access to public transportation","2","NA","Distance to commuter rail",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"You said you or someone in your household use commuter rail. How far is the commuter rail from your home?",3,"Character","2013","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTDISSHUT","21","Access to public transportation","2","NA","Distance to shuttle",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"You said you or someone in your household use the commuter shuttle. How far is the commuter shuttle from your home?",4,"Character","2013","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTDISSUB","21","Access to public transportation","2","NA","Distance to subway",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"You said you or someone in your household use the subway, light rail, or trolley. How far is the subway, light rail, or trolley from your home?",5,"Character","2013","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTGETBUS","21","Access to public transportation","2","NA","How household member gets to the bus",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How do you or someone in your household usually get to the bus?",6,"Character","2013","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTGETRAIL","21","Access to public transportation","2","NA","How household member gets to rail",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How do you or someone in your household usually get to the commuter rail?",7,"Character","2013","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTGETSHUT","21","Access to public transportation","2","NA","How household member gets to shuttle",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How do you or someone in your household usually get to the commuter shuttle?",8,"Character","2013","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTGETSUB","21","Access to public transportation","2","NA","How household member gets to subway",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How do you or someone in your household usually get to the subway, light rail, or trolley?",9,"Character","2013","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTCOSTCARM","21","Cost (Public Transportation)","3","NA","Monthly household spending on car maintenance",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,"Topcoded at the 99.5th percentile.","How much do you estimate your household spends each month on: Car maintenance?",1,"Numeric","2013","0000:9997: $0$9,997||9998: $9,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTCOSTCARP","21","Cost (Public Transportation)","3","NA","Monthly household spending on car payments",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,"Topcoded at the 97th percentile.","How much do you estimate your household spends each month on: Car payments?",2,"Numeric","2013","0000:9997: $0$9,997||9998: $9,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTCOSTGAS","21","Cost (Public Transportation)","3","NA","Monthly household spending on gasoline",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,"Topcoded at the 99.5th percentile.","How much do you estimate your household spends each month on: Gasoline?",3,"Numeric","2013","0000:9997: $0$9,997||9998: $9,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTCOSTINSU","21","Cost (Public Transportation)","3","NA","Monthly household spending on car insurance",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,"Topcoded at the 99.5th percentile.","How much do you estimate your household spends each month on: Auto insurance?",4,"Numeric","2013","0000:9997: $0$9,997||9998: $9,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTCOSTPARK","21","Cost (Public Transportation)","3","NA","Monthly household spending on parking",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,"Topcoded at the 97th percentile.","How much do you estimate your household spends each month on: Parking?",5,"Numeric","2013","0000:9997: $0$9,997||9998: $9,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTCOSTPTR","21","Cost (Public Transportation)","3","NA","Monthly household spending on public transport",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,"Topcoded at the 97th percentile.","How much do you estimate your household spends each month on: Public transportation?",6,"Numeric","2013","0000:9997: $0$9,997||9998: $9,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTOFTBUS","21","Use","4","NA","How often household member uses the bus",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How often do you or someone in your household use a bus? Round trips count as one use.",1,"Character","2013","1: Daily||2: 46 times a week||3: 13 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTOFTRAIL","21","Use","4","NA","How often household member uses rail",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How often do you or someone in your household use commuter rail? Round trips count as one use.",2,"Character","2013","1: Daily||2: 46 times a week||3: 13 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTOFTSHUT","21","Use","4","NA","How often household member uses shuttle",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How often do you or someone in your household use a commuter shuttle? Round trips count as one use.",3,"Character","2013","1: Daily||2: 46 times a week||3: 13 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"PTOFTSUB","21","Use","4","NA","How often household member uses subway",,"Coming Soon","TOPICAL","PUF","2013","Public Transportation",,,,"How often do you or someone in your household use the subway, light rail, or trolley? Round trips count as one use.",4,"Character","2013","1: Daily||2: 46 times a week||3: 13 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
